fingerprint, ipaddr, port
042944E139508E6A8495AA1F6F320D1087D84930, 2001:910:1400:107::2, 4443
042BCDF2D36D7AEE070E086DAD4B57F27B2F1143, 66.175.235.244, 443
0432BEE829FCB155CE92CF418B7280F9849E12D0, 77.109.152.87, 143
0432BEE829FCB155CE92CF418B7280F9849E12D0, 2a02:168:6426::11, 143
0439AB73BB2B8730FCB15B18252928FC0C2EDF91, 95.216.22.87, 4080
0439AB73BB2B8730FCB15B18252928FC0C2EDF91, 2a01:4f9:2a:16a8::2, 4080
04407CF31C2C93CE891C7E50D52FB12905FFB3B5, 77.237.52.14, 443
04407CF31C2C93CE891C7E50D52FB12905FFB3B5, 2a01:191::, 443
044428D910C037932A0763BB089769943F6BA648, 198.251.84.163, 443
044428D910C037932A0763BB089769943F6BA648, 2605:6400:30:f174:1:2:3:4, 443
045078C44A22F5DBA5DDAAC004A8337462C471BA, 15.204.227.208, 9200
045078C44A22F5DBA5DDAAC004A8337462C471BA, 2604:2dc0:101:200::1b3f, 9200
045BBCA9602A22C112984F25003CD4897CFFB9E5, 185.229.90.81, 443
045BBCA9602A22C112984F25003CD4897CFFB9E5, 2001:1680:101:43f::1, 443
046F2D59A85FAE693676A87533717C57436261C2, 65.21.195.87, 9001
04749CD6A6BE1C0B14EE63DFD0F13EEB9EFEE8AB, 185.220.101.51, 10051
04749CD6A6BE1C0B14EE63DFD0F13EEB9EFEE8AB, 2a0b:f4c2:2::51, 10051
0485027A0A349D454D978F6C1CECDD29EA17769A, 192.42.116.17, 443
0485027A0A349D454D978F6C1CECDD29EA17769A, 2001:67c:6ec:203:218:33ff:fe44:5517, 443
0488C4D35979208238DC56977DFE0F2CC39BCC22, 75.164.171.153, 9001
048B9A44712BDC2B896691E37B2B62C4A81D4DE5, 82.223.165.239, 443
048B9A44712BDC2B896691E37B2B62C4A81D4DE5, 2001:ba0:1800:81dc::1, 443
049852A10805835E9AB2C551D6C438BE6DE8B24C, 193.218.118.180, 9001
049852A10805835E9AB2C551D6C438BE6DE8B24C, 2a0f:e586:f:f::180, 9001
04C9F15F3ADA047BA3A0EDA082678C57FEF20AC3, 50.71.206.206, 9001
04CC92676D9A6C6A851DAB04F54709E9630EA8F2, 45.158.77.29, 9300
04CC92676D9A6C6A851DAB04F54709E9630EA8F2, 2a04:ecc0:8:a8:4567:491:0:1, 9300
04DAB3B5205C0EE19A702EBAFBBBC7AD21C24805, 85.239.34.24, 9001
04DFE047ACDF7A6620ACA782FAFC5EF1AE7F4754, 46.22.212.230, 443
04EA8C169CD0F108AACE4F0E54F6202A2F8B41A3, 217.28.62.164, 443
04FA76645DC5B794E2A088D58ABD5C5153A2CD23, 185.148.1.169, 443
0501011B32C77C3FFE68DC4B3E40FC5D27F9501B, 178.254.44.163, 5126
052848D49E213DE9F85C8721E138DAABA2DE08C8, 45.9.150.130, 9001
054AF5AE5DA4AA0B81D7155542AF204252CB6D61, 150.230.20.28, 9001
