fingerprint, ipaddr, port
0632EC43FEA8EA3F377FE2E34DA671746F1642DD, 45.141.215.95, 143
06804E6383EE94E83C9453F39B1E524C272D6D84, 109.70.100.5, 9005
06804E6383EE94E83C9453F39B1E524C272D6D84, 2a03:e600:100::5, 9005
06A0482D3DED57CE8E0131531B3DB44A8AEF683C, 192.42.116.180, 9006
06A0482D3DED57CE8E0131531B3DB44A8AEF683C, 2001:67c:6ec:203:192:42:116:180, 9006
06A64BF11983B8323FF7EEDCE5C35A0543523B54, 185.243.218.110, 15443
06A64BF11983B8323FF7EEDCE5C35A0543523B54, 2a03:94e0:ffff:185:243:218:0:110, 15443
06EC2C1669E5A811D9640E07CED5786DA50C5737, 185.220.100.245, 9000
06EC2C1669E5A811D9640E07CED5786DA50C5737, 2a0b:f4c0:16c:11::1, 9000
0705F969B825FAE29BCEB3F692B0A4224DED82E0, 89.58.26.216, 7430
0705F969B825FAE29BCEB3F692B0A4224DED82E0, 2a03:4000:62:8:c855:23ff:fef6:50ee, 7430
0715BB9CC7F0BD48A8DC8C6E4E8D3F9E35CFD570, 23.155.24.6, 9005
0715BB9CC7F0BD48A8DC8C6E4E8D3F9E35CFD570, 2602:2e6:0:6::, 9005
072E2883854ADA0C6B0FC1497544E529D9FD8373, 185.100.87.250, 9002
072E2883854ADA0C6B0FC1497544E529D9FD8373, 2a06:1700:0:12::1, 9002
077C4A89A06F9560CED75BEF751BA2334378C3A3, 192.42.116.176, 9004
077C4A89A06F9560CED75BEF751BA2334378C3A3, 2001:67c:6ec:203:192:42:116:176, 9004
07867EC8A9994FAC87582CE8793855A1D36AD626, 107.189.7.47, 443
07867EC8A9994FAC87582CE8793855A1D36AD626, 2605:6400:30:f32b:7417:ea33:425b:9732, 443
079D94BAC901D49F579FD860EB58D0CD660B22F4, 109.70.100.6, 9003
079D94BAC901D49F579FD860EB58D0CD660B22F4, 2a03:e600:100::6, 9003
07ACFB0801E4F74F5610F870B5FCBB5539DBCBD1, 185.129.62.63, 9001
07ACFB0801E4F74F5610F870B5FCBB5539DBCBD1, 2a06:d380:0:103::63, 9001
07C76EC5CC5CFDA80DE3082BC2F007105E2FC2EE, 192.42.116.189, 9002
07C76EC5CC5CFDA80DE3082BC2F007105E2FC2EE, 2001:67c:6ec:203:192:42:116:189, 9002
07D1F6CB13F036D3A7403D50D7F3DCF22ECD364F, 45.95.169.230, 443
07DCECDF04BE5D470C615C8E1CCF086F74FC8CA6, 194.26.192.77, 143
0806B64E53BD3ED2F0BDB5EED8DBF81DF331F45A, 185.241.208.206, 9200
08394C4873C8A71BE9F53593F9B4AD694BFCDB90, 185.56.171.94, 9001
0863252662246FFF6914F380711C75DC4027BD75, 185.241.208.236, 143
0875B818FAFCA380D712F102418C437EF2B8855A, 198.98.51.249, 443
0875B818FAFCA380D712F102418C437EF2B8855A, 2605:6400:10:1ab:2605:6400:10:1ab, 443
08A3FB66552432ED6E4E2A26868A933FBA28180C, 149.202.79.101, 9001
08BCE55592BD5B2DDE69967C5D144FB2A6DB076E, 2.57.122.246, 9600
08CE3DBFDAA27DB6C044A677AF68D7235C2AFC85, 195.176.3.20, 8443
08CE3DBFDAA27DB6C044A677AF68D7235C2AFC85, 2001:620:20d0::20, 8443
08D62283728A0E004F9B893B71BB24C70AF52A74, 185.220.101.18, 9001
08D62283728A0E004F9B893B71BB24C70AF52A74, 2a0b:f4c2::18, 9001
0932F9009DCF32EC60FD52F975318D3F6E8E59F9, 107.189.7.168, 8443
09768BD9ACA211008713BA481E0B8EE3239A9F0B, 45.141.215.169, 143
098F98538A21A16332E8C4B724305C2A3496A467, 199.195.250.165, 9000
098F98538A21A16332E8C4B724305C2A3496A467, 2605:6400:10:aa1:2db8:1c14:2191:4aa8, 9000
099B9AE1A6598017462F5C0EBD78B15FCAC27D56, 192.42.116.179, 9004
099B9AE1A6598017462F5C0EBD78B15FCAC27D56, 2001:67c:6ec:203:192:42:116:179, 9004
09A5115DDD6179B339AD7D1930BAA1DE1F2DF61E, 93.90.74.31, 9002
09A5115DDD6179B339AD7D1930BAA1DE1F2DF61E, 2a0e:97c0:470::30, 9002
09CA1957EC0671044DAD2EEA282A348FFD7D271E, 107.189.8.133, 9000
09CA1957EC0671044DAD2EEA282A348FFD7D271E, 2605:6400:30:ea86:59b6:d4c6:5192:1a19, 9000
09E5621C0D7400FC18EF137A679F7FEB78F8650C, 192.42.116.212, 9001
09E5621C0D7400FC18EF137A679F7FEB78F8650C, 2001:67c:6ec:203:192:42:116:212, 9001
0A01EC97691E4504469C31DE68398BED3F6875AD, 191.252.220.31, 45793
0A11C7546A1332412D1EBD13BD4C3D6A6644D7E0, 107.189.30.69, 9001
0A2366980A2842D770EF8E136A7DA14876360447, 185.220.101.98, 443
0A2366980A2842D770EF8E136A7DA14876360447, 2a0b:f4c2:4::98, 443
0A3AAF530747D7034DBF88C518033A22827E3C46, 45.141.215.56, 9100
0A42ECB653FD85D9517C21731D941BE0A3659E34, 192.42.116.178, 9004
0A42ECB653FD85D9517C21731D941BE0A3659E34, 2001:67c:6ec:203:192:42:116:178, 9004
0A76C0A0A721DDBC324B705ADBFC95FD806AE855, 45.80.158.27, 110
0AF982CC71A01D95E8959D763D0EC0E5A6C61244, 45.80.158.205, 110
0AFD832F09B6C2C9E0FE99E78B29E2ED325B0E54, 185.246.188.149, 9999
0AFD832F09B6C2C9E0FE99E78B29E2ED325B0E54, 2a06:1700:3:34::1, 9999
0B041A1650BD8989F9187AE553C9DB41783F114B, 185.220.101.131, 10131
0B1DF900D338DD168C836306DFAA9855FE6A0AE0, 95.164.4.104, 9001
0B5BC76B3BE7553B229FD3E73F26AED41C31DD19, 89.58.41.156, 9000
0B5BC76B3BE7553B229FD3E73F26AED41C31DD19, 2a03:4000:66:15:18a0:6bff:fe90:3147, 9000
0B5D8AB5DAD8D7AAC1BFFD98DBA4BEC3D85DB2DB, 192.42.116.192, 9006
0B5D8AB5DAD8D7AAC1BFFD98DBA4BEC3D85DB2DB, 2001:67c:6ec:203:192:42:116:192, 9006
0B5E5E70FFEA9C7F9FFD13B8E16916A608F3E9EB, 162.247.74.216, 443
0B8EF5F5016926F4245350FB37914E30BF36C528, 45.138.16.222, 110
0B946CCC4CFA8DCE61B9B4076DF91B25695B24EE, 109.70.100.66, 9003
0B946CCC4CFA8DCE61B9B4076DF91B25695B24EE, 2a03:e600:100::66, 9003
0BA1C8F26AFAD3FAEF3B6A228F97382D115027B9, 185.220.101.7, 9003
0BA1C8F26AFAD3FAEF3B6A228F97382D115027B9, 2a0b:f4c2::7, 9003
0BC8BA32CC3CB0F598E0C92778F7C0946DFBCE91, 87.118.116.90, 443
0BC8BA32CC3CB0F598E0C92778F7C0946DFBCE91, 2001:1b60:3:221:3132:102:0:1, 443
0C711E6B46647C17998262CB86F18B54B8A187DD, 109.70.100.68, 9005
0C711E6B46647C17998262CB86F18B54B8A187DD, 2a03:e600:100::68, 9005
0C761EF73E84FE4C1350248FA9BFB8BD6AB5F114, 141.98.10.14, 3002
0C8F681ED2E2E4DA5525AA11416E970B7158CACB, 89.147.111.124, 9001
0CA1B6BC906E5DD6F4CFE322B4BEFE7A17D42D52, 185.220.101.5, 9003
0CA1B6BC906E5DD6F4CFE322B4BEFE7A17D42D52, 2a0b:f4c2::5, 9003
0CABED9159F1E4BE82879F5A34ED8D7349E931BD, 198.251.89.96, 443
0CABED9159F1E4BE82879F5A34ED8D7349E931BD, 2605:6400:30:f174::, 80
0CB83F633CFB20692E8A615C7B8E524835E2746E, 107.189.3.11, 443
0CB83F633CFB20692E8A615C7B8E524835E2746E, 2605:6400:30:efb2::, 443
0CD666F9C9A40A8CFB1E6B9465597A51D3A1CBF8, 107.189.8.56, 9100
0CD666F9C9A40A8CFB1E6B9465597A51D3A1CBF8, 2605:6400:30:f0ed:9151:66ed:6366:5c74, 9100
0D12D8E72DED99EE31BB0C57789352BED0CEEEFF, 109.70.100.4, 9004
0D12D8E72DED99EE31BB0C57789352BED0CEEEFF, 2a03:e600:100::4, 9004
0D2DE242ADA0ED77325E3AEE3A9D8C5CD07C2CF3, 195.176.3.20, 443
0D2DE242ADA0ED77325E3AEE3A9D8C5CD07C2CF3, 2001:620:20d0::20, 443
0D39909B37AAC2BC742305EE72DF1F0FD187D4EE, 185.220.101.30, 9003
0D39909B37AAC2BC742305EE72DF1F0FD187D4EE, 2a0b:f4c2::30, 9003
0D6A6F948FDBD8BBE8D4EC8FED9471C52289FFCE, 192.42.116.202, 9001
0D6A6F948FDBD8BBE8D4EC8FED9471C52289FFCE, 2001:67c:6ec:203:192:42:116:202, 9001
0D7661A33EB9CA44BEC3109DBEC7F9C5E8ABFB02, 2.58.56.43, 9100
0D967EACE42448A08E244366DF753BBFF611EB37, 171.25.193.20, 443
0D967EACE42448A08E244366DF753BBFF611EB37, 2001:67c:289c::20, 443
0D99D243BEFBBEBC8673437CE3C1B0EFF539131D, 192.42.116.197, 9007
0D99D243BEFBBEBC8673437CE3C1B0EFF539131D, 2001:67c:6ec:203:192:42:116:197, 9007
0DC16FEAA5A5E27A974009CBF7748BB6FAAE6DE1, 80.67.167.81, 19005
0DC16FEAA5A5E27A974009CBF7748BB6FAAE6DE1, 2a0e:e701:1198::1, 19005
0DE135A4D0ECCB5D57F8B71BF8E22958FC4146A7, 192.42.116.176, 9000
0DE135A4D0ECCB5D57F8B71BF8E22958FC4146A7, 2001:67c:6ec:203:192:42:116:176, 9000
0E29222CA653CE4F94FDBF8DF16D2597D473EC74, 103.251.167.20, 9002
0E29222CA653CE4F94FDBF8DF16D2597D473EC74, 2a01:6340:2:501::20, 9002
0E2FF5BF873DF2FDBABE42DBF042D350DE794F15, 45.80.158.205, 143
0E742A5F55FD6F4DE74A618F068095743AE30E5F, 192.42.116.181, 9005
0E742A5F55FD6F4DE74A618F068095743AE30E5F, 2001:67c:6ec:203:192:42:116:181, 9005
