fingerprint, ipaddr, port
02351FC88D0BF06F6CDE5452656641E6119DBD7E, 95.216.20.80, 8080
02351FC88D0BF06F6CDE5452656641E6119DBD7E, 2a01:4f9:2a:14af::2, 8080
0245332DFEAEE0AFE4E469EDA54E75B28EDC9CF8, 94.177.106.59, 443
0246FD8FD3088D65A64D28F011F3054C2EC9B8D0, 23.114.67.194, 54430
0246FD8FD3088D65A64D28F011F3054C2EC9B8D0, 2600:1702:4a78:84c0:250:56ff:fe8f:41a9, 54430
024A48D0EAFF4761DAA976248343C44F8223F4CC, 172.233.202.49, 443
024A48D0EAFF4761DAA976248343C44F8223F4CC, 2600:3c05::f03c:93ff:fe6e:ff2, 443
0258BDAE9B351714B0BCC0DABE1D798D662EBA88, 45.141.153.214, 443
025D16D8BF54C07D748F75D546BBF50F8FB49580, 87.118.114.44, 9001
025D16D8BF54C07D748F75D546BBF50F8FB49580, 2001:1b60:3:220:3039:101:0:1, 9001
025E042D17A3BFFAE2C5D1A86AF7B4D95AA6AC0E, 135.181.45.89, 65535
02654B8B9803775860CDF2C7F7109FF68A1349AA, 79.20.15.212, 10101
02680CAD6016E86124971A2829D3A06A79227062, 212.110.234.138, 9002
026C57A3DCE4893BC331AD1F8BA6EB894BC4A0F9, 57.128.174.82, 3333
026C841C5CF7AF71D13093B5DC9D5DD2D376469E, 173.88.182.35, 9001
0273FCDE81A7A3B33F4EB369D20D9A77C6178854, 87.121.52.112, 9001
02740F472D1DA5C1B77475F18940FE79F15AF4B8, 81.169.222.158, 9001
02740F472D1DA5C1B77475F18940FE79F15AF4B8, 2a01:238:4224:8d00:f3a9:25e6:4cb6:f3d, 9001
027E75C92F1231AE5F7BD4E1536696FE3040C460, 185.220.101.100, 993
027E75C92F1231AE5F7BD4E1536696FE3040C460, 2a0b:f4c2:4::100, 993
0281F1C31F34A0EA35EC761308AA3E14092B9B95, 84.247.160.4, 9001
028BEF4A81578286BAA1352C73E4609B9915C687, 146.0.36.87, 9007
02A0D8DDF4DA4E601C1C66143BB0C8A0F2F3C857, 157.90.77.166, 9001
02A59412DE589A009369BCBF81E56F0D64B3B464, 141.147.54.226, 9001
